id_penjualan,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,harga,customer,id_cabang_sales,cabang_sales,id_distributor,grup,barang,kemasan,nama_tipe,kode_brand,brand,total_sales
IN6184BRG0003,IN6184,2022-01-28,CUST55395,BRG0003,12,17000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,204000
IN6184BRG0002,IN6184,2022-01-28,CUST55395,BRG0002,1,112000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,112000
IN6301BRG0008,IN6301,2022-02-01,CUST55393,BRG0008,24,9800,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,235200
IN6113BRG0001,IN6113,2022-02-01,CUST55382,BRG0001,2,96000,KLINIK GM,CAB03,Jakarta,TA,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,192000
IN6023BRG0009,IN6023,2022-02-01,CUST55399,BRG0009,67,31000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,2077000
IN6029BRG0009,IN6029,2022-01-28,CUST55389,BRG0009,18,31000,KLINIK GM,CAB03,Jakarta,TA,Klinik,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,558000
IN6251BRG0006,IN6251,2022-01-23,CUST55387,BRG0006,5,39000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,195000
IN6036BRG0004,IN6036,2022-01-27,CUST55388,BRG0004,12,24500,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,294000
IN6131BRG0009,IN6131,2022-01-28,CUST55418,BRG0009,10,31000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,310000
IN6029BRG0008,IN6029,2022-01-28,CUST55389,BRG0008,8,9800,KLINIK GM,CAB03,Jakarta,TA,Klinik,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,78400
IN6024BRG0008,IN6024,2022-01-27,CUST55394,BRG0008,12,9800,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,117600
IN6089BRG0007,IN6089,2022-01-25,CUST55386,BRG0007,9,64700,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,582300
IN6259BRG0002,IN6259,2022-02-01,CUST55405,BRG0002,25,112000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,2800000
IN6028BRG0008,IN6028,2022-01-30,CUST55420,BRG0008,100,9800,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,980000
IN6028BRG0010,IN6028,2022-01-30,CUST55420,BRG0010,78,21000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,1638000
IN6280BRG0007,IN6280,2022-01-23,CUST55384,BRG0007,10,64700,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,647000
IN6036BRG0009,IN6036,2022-01-27,CUST55388,BRG0009,22,31000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,682000
IN6028BRG0005,IN6028,2022-01-30,CUST55420,BRG0005,9,47000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,423000
IN6259BRG0004,IN6259,2022-02-01,CUST55405,BRG0004,18,24500,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,441000
IN6144BRG0007,IN6144,2022-01-22,CUST55383,BRG0007,13,64700,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,841100
