id_customer,level,nama,id_cabang_sales,cabang_sales,id_distributor,group
CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55381,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55385,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55386,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55388,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55390,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55391,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55392,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55393,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55394,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55395,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55396,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55397,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55398,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55399,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55400,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55401,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55402,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55403,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55404,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55405,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55406,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55407,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55408,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55409,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55410,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55411,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55412,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55413,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55414,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55415,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55416,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55417,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55418,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55419,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55420,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55421,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55422,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55423,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55424,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55425,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55426,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55427,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55428,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55429,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55430,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55431,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55432,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55433,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55434,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55435,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55436,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55437,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55438,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55439,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55440,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55441,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55442,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55443,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55444,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55445,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55446,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55447,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55448,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55449,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55450,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55451,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55452,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55453,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55454,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55455,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55456,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55457,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55458,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55459,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55460,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55461,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
