kode_barang,nama_barang,kemasan,harga,nama_tipe,kode_brand,brand
BRG0001,ACYCLOVIR DUS,DUS,96000,Produk jadi,206,OGB & PH
BRG0002,ALERGINE TABLET SALUT,DUS,112000,Produk jadi,203,ETIKAL
BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS
BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS
BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL
BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH
BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL
BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS
BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS
BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL
